Games	Console	Edition	Developer	Publisher	Year	New	Box	Manual
戦国BASARA クロニクルヒーローズ	Playstation Portable 	Japanese	CAPCOM	CAPCOM	2009	No	Yes	No
VitaminZ Revolution	Playstation Portable 	Japanese	Hune X	D3 Publisher	2010	No	Yes	No
Diabolik Lovers	Playstation Portable 	Japanese	Rejet	Idea Factory	2012	No	Yes	Yes
Amnesia crowd	Playstation Portable 	Japanese	Desing Factory	Idea Factory	2013	No	Yes	No
金色のコルダ	Playstation Portable	Japanese	Ruby Party	Koei	2009	No	Yes	Yes
遥かなる時空の中で４	Playstation Portable	Japanese	Koei	Koei	2008	No	Yes	Yes
遙かなる時空の中で3	Playstation Portable	Japanese	Koei	Koei	2009	No	Yes	Yes
薄桜鬼	Playstation Portable	Japanese	Design Factory	Idea Factory	2009	No	Yes	Yes
ファンタシースターポータブル	Playstation Portable	Japanese	SEGA	SEGA	2008	Yes	Yes	Yes
つカレっ☆ 恋愛デビュー宣言	Playstation Portable	Japanese	Bridge Co., Ltd	Bridge Co., Ltd	2012	No	Yes	Yes
うたの☆プリンスさまっ♪Repeat LOVE	Playstation Portable	Japanese	Nippon Ichi Software	Brocoli	2011	No	Yes	Yes
うたの☆プリンスさまっ♪All Star	Playstation Portable	Japanese	Nippon Ichi Software	Brocoli	2013	No	Yes	Yes
Starry Sky	Playstation Portable	Japanese	Honeybee	Honeybee	2012	No	Yes	Yes
Amnesiaアムネシア	Playstation Portable	Japanese	Design Factory	Idea Factory	2011	No	Yes	Yes
Square Enix Final Fantasy VII Rebirth	Playstation 5	European	Square Enix	Square Enix 	2024	No	Yes	Yes
Spider-Man 2	Playstation 5	European	Insomniac Games	Sony Interactive Entertainment	2023	No	Yes	No
Shin Megami Tensei V: Vengeance	Playstation 5	European	ATLUS	SEGA	2024	No	Yes	No
Residnet Evil 4 Remastered 	Playstation 5	European	CAPCOM 	CAPCOM	2023	No	Yes	No
Puyopuyo Tetris 2	Playstation 5	European	SEGA	SEGA	2020	No	Yes	No
NHL 22	Playstation 5	European	Electronic Arts	Electronic Arts	2021	Yes	Yes	Yes
Metaphor: Rephantazio	Playstation 5	European	ATLUS	SEGA	2024	No	Yes	No
Hogwarts Legacy	Playstation 5	European	Avalanche Software	Warner Bros. Games	2023	No	Yes	Yes
Final Fantasy XVI	Playstation 5	European	Square Enix	Square Enix 	2023	No	Yes	Yes
FIFA 22	Playstation 5	European	Electronic Arts	Electronic Arts	2021	Yes	Yes	Yes
Watch Dogs Legion 	Playstation 4	European	Ubisoft	Ubisoft	2020	No	Yes	Yes
Uncharted: The Nathan Drake Collection	Playstation 4	European	Naughty Dog	Sony Interactive Entertainment	2018	Yes	Yes	Yes
Titan Quest	Playstation 4	European	Iron Lore Entertainment	Thonordic	2018	No	Yes	No
The Last of Us Part 2 	Playstation 4	European	Naughty Dog	Sony Interactive Entertainment	2020	No	Yes	No
Surviving Mars	Playstation 4	European	Haenimont  Games	Paradox Interactive 	2018	No	Yes	No
Star Wars Jedi Fallen Order	Playstation 4	European	Respawn Entertainment	Electronic Arts	2019	No	Yes	No
Star Wars Battlefront 2	Playstation 4	European	DICE	Electronic Arts	2017	No	Yes	No
Spider-Man Miles Morales	Playstation 4	European	Insomniac Games	Sony Computer Entertainment	2020	No	Yes	No
Skylanders Trap Team	Playstation 4	European	Toys For Bob	Activision 	2014	No	Yes	No
Skylanders Superchargers 	Playstation 4	European	Toys For Bob	Activision 	2015	No	Yes	No
Puyopuyo Tetris 	Playstation 4	European	SEGA	SEGA	2014	No	Yes	No
Owerwatch 	Playstation 4	European	Blizzard Entertainment	Blizzard Entertainment	2016	No	Yes	No
MicroMachines	Playstation 4	European	Codemasters	Electronic Arts	2017	No	Yes	No
Little Big Planet 3	Playstation 4	European	Sumo Digital	Sony Interactive Entertainment	2014	No	Yes	Yes
Lego Jurassic World	Playstation 4	European	TT Games	Warner Bros. Games	2015	No	Yes	Yes
inFamous Second Son	Playstation 4	European	Sucker Punch	Sony Interactive Entertainment	2014	Yes	Yes	Yes
Horizion Zero Dawn	Playstation 4	European	Guerrilla	Sony Interactive Entertainment	2017	No	Yes	No
